HR,LR
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1104a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1104a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0715a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0715a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1503a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1503a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw1933a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw1933a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw2036a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw2036a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1305a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1305a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0514a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0514a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0406a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0406a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw1924a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw1924a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0515a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0515a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw1932a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw1932a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0503a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0503a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0411a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0411a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1914a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1914a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1105a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1105a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1806a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1806a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1410a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1410a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0702a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0702a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1406a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1406a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic2011a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic2011a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw1441a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw1441a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1518a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1518a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw1751a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw1751a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/opo9828c.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_opo9828c.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1608a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1608a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw2110a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw2110a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/opo9941a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_opo9941a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1307a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1307a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1917a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1917a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1501a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1501a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1110a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1110a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1516a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1516a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw1822a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw1822a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/opo0624a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_opo0624a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1310a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1310a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/opo9433a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_opo9433a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1808a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1808a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/opo0501a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_opo0501a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1520a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1520a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0814a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0814a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw1921a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw1921a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1815a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1815a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw2049a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw2049a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1907a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1907a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic2018b.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic2018b.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0814b.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0814b.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0506b.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0506b.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw1940a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw1940a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw1805a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw1805a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/opo0028a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_opo0028a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1814b.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1814b.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw1804a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw1804a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0910q.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0910q.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/opo0511a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_opo0511a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0706a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0706a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1814a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1814a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0910s.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0910s.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0910e.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0910e.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/opo1438b.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_opo1438b.tif
